codigo_ibge,longitude,latitude,area_km2,altitude_media_m,altitude_minima_m,amplitude_altitude_m,declividade_m_por_km,celulas_de_relevo,distancia_rio_km,distancia_rio_grande_km
3201407,-41.20321097325455,-20.552459360109033,656.4313061386347,595.7928466796875,105.0,1443.0,80.59024305140102,140,118.62847656737021,434.4846566345505
3201506,-40.6562254216522,-19.487290667284384,1380.1394296586514,195.46958923339844,33.0,708.0,33.240545991331835,296,4.2898236738125295,465.4986553690143
3201605,-39.83335563646856,-18.443421644293746,1178.5554403997958,40.23228454589844,2.0,91.0,4.006657611687132,254,108.79735696629737,544.5891920824212
3201704,-41.26456924851799,-20.373944125216468,368.5065954979509,820.3780517578125,358.0,840.0,50.65075175172207,82,100.85807382717073,422.2111327275867
3201803,-41.726918245889635,-20.584814399103774,173.00588394794613,1025.1842041015625,765.0,1221.0,67.44194709262078,38,109.55443209775828,385.37720269543337
3201902,-40.84669084221011,-20.306702502700336,1242.5942408572882,882.6824951171875,135.0,1519.0,33.55539891092066,274,86.89789844911431,461.67032178307886
3202009,-41.81188389862055,-20.636689172266195,152.63002963270992,998.7647094726562,632.0,1246.0,65.70352347298825,34,102.78251336291831,379.6678777793929
3202108,-40.81032946514802,-18.26423336097973,2282.4817857407033,284.2494812011719,147.0,487.0,18.964015311507044,489,113.20780592390933,440.4516844514062
3202207,-40.346791523466266,-19.975458558082185,277.70486575365067,113.51612854003906,0.0,640.0,27.767479832808124,62,49.157920353660735,504.2182439062206
3202256,-40.49991472615317,-19.203890425309435,355.22785851266235,220.3125,79.0,543.0,25.522390765039734,80,33.526593177185774,480.6639340751251
3202306,-41.704203025799934,-20.7662530585792,488.3668713811785,733.076904296875,579.0,497.0,26.112431708118326,104,90.28734645745466,395.7953146815783
3202405,-40.54645167238686,-20.584918768096948,590.8821193147451,198.921875,3.0,784.0,42.58746200454577,128,117.1619542521641,500.05496915434645
3202454,-41.54725419670784,-20.249707460774836,240.97771513368934,879.1964111328125,627.0,591.0,48.68716051925838,56,99.04441230252897,390.1511301314156
3202504,-40.42007707946496,-19.838842248902612,207.90786145068705,271.46807861328125,41.0,632.0,48.48837102372982,47,33.75502560814624,494.2935953078878
3202553,-41.69039483235564,-20.488369508217136,336.30192775744945,1137.0833740234375,692.0,1807.0,69.60890072639609,72,112.29512045166624,384.8278964613549
3202603,-40.85689686381522,-20.754230736756963,213.2863502111286,420.77777099609375,28.0,752.0,60.450546564198326,45,96.20929016458743,475.69052699162705
3202652,-41.63319705194097,-20.32821246231731,172.27956123743206,841.23681640625,703.0,354.0,25.64904933775234,38,106.42732570720254,384.3298180376273
3202702,-40.86515856239539,-19.72635376904873,538.1648568706587,326.96551513671875,119.0,944.0,56.07622453751236,116,23.020738263791692,446.56881774722547
3202801,-40.94645138336082,-20.967466569783117,561.7367587778717,33.83470916748047,1.0,214.0,9.047041118036901,121,71.54568546618296,475.9529159035894
3202900,-40.88983549021386,-19.949092149465674,299.0767674446106,565.7096557617188,164.0,885.0,65.81620554934842,62,47.76199107829278,448.10851697124235
3203007,-41.657035165460094,-20.35072335816237,477.71954241674393,936.23583984375,502.0,1745.0,79.78974467665957,106,105.72454002318936,382.7967228359965
3203056,-40.002532379725864,-18.949038275809073,663.1708985175937,51.11111068725586,4.0,140.0,3.591648167672727,144,51.03023490321029,533.7049588980045
3203106,-41.39048139991864,-20.8001423791823,170.2794518340379,281.1282043457031,114.0,731.0,55.57516581119955,39,90.67023438221828,426.6976185574679
3203130,-40.435043781672306,-19.715390020878285,290.56794452201575,229.77049255371094,61.0,633.0,43.76579782646998,61,20.336181683110443,490.9481126627869
3203163,-41.057068173793894,-19.87126330130649,449.5951710958034,359.653076171875,174.0,651.0,38.44994390619981,98,42.068415223987714,429.38478199972917
